index,id,title,artists,popularity,release_date,duration_s,danceability,energy,key,loudness,mode,acousticness,instrumentalness,speechiness,liveness,valence,tempo,time_signature,label,cluster_label
108,4eYBHse6GU50iQToYFI8Kw,CAZZU | DJ TAO Turreo Sessions #9,DJ Tao,21,2022-03-17,176.804,0.703,0.606,6,4.724,0,0.0817,0.0,0.155,0.0327,0.593,82.65,4,0,0
37,6DXLO8LndZMVOHM0wNbpzg,Danza Kuduro,Lucenzo,71,2010-01-01,198.787,0.699,0.917,0,4.897,1,0.078,0.0,0.115,0.065,0.889,130.04,4,0,0
25,34yg2BvpUtDP6VPmZYCP9x,I Want You,['Gary Low'],35,1982-01-01,509.24,0.93,0.688,11,10.294,0,0.0417,0.00698,0.0507,0.0351,0.878,122.491,4,1,0
141,0ZCV1r9gUvNsDKY1s5TUuo,BICI - Remix,Koatz DJ,10,2021-12-02,195.562,0.795,0.874,11,5.638,0,0.123,0.0,0.152,0.238,0.728,99.952,4,0,0
273,6yYGrFfc595ggAwsYpH13v,Dove,['Cymande'],0,1972-01-01,655.44,0.439,0.475,6,12.559,0,0.449,0.253,0.0361,0.0903,0.428,111.717,4,1,1
243,1GT9jsKDk6osfnR5lWIUMD,Clouds Across the Moon,['The Rah Band'],43,1985-01-01,285.066,0.658,0.583,7,12.24,1,0.159,6.2e-05,0.113,0.307,0.498,101.053,4,1,1
106,6bQ5823aHmFVKLZW8E7rRo,Si Quieren Frontear,Quevedo,67,2022-03-31,200.337,0.789,0.837,10,3.247,1,0.125,0.0,0.23,0.209,0.476,81.536,4,0,0
115,1xqbfjRuUw0ot43wgBuVkt,Sensual Bebé,Jhayco,62,2022-03-11,209.147,0.776,0.629,0,6.09,1,0.0268,0.0,0.0505,0.114,0.104,97.066,4,0,0
8,03D38D4VFn2XGJmwX6SJU5,Og kush,Karamba,25,2021-03-15,174.439,0.517,0.754,6,3.586,0,0.0421,0.000249,0.328,0.103,0.698,193.768,4,0,0
397,1SIkhPlc1y9KfA0I1zGEN3,Yesterday Once More,['Carpenters'],0,1973-01-01,233.533,0.254,0.38,4,13.806,1,0.672,0.0,0.0337,0.379,0.408,168.496,4,1,1
112,5cSvOoINlbKuno8HuWjJYw,Bora Bora,KILATE TESLA,35,2022-06-10,160.435,0.614,0.737,5,5.711,1,0.124,0.0,0.181,0.449,0.737,183.868,4,0,0
36,6Sq7ltF9Qa7SNFBsV5Cogx,Me Porto Bonito,Chencho Corleone,89,2022-05-06,178.567,0.911,0.712,1,5.105,0,0.0901,2.68e-05,0.0817,0.0933,0.425,92.005,4,0,0
105,72UWrrtn62y7EG6L6QBqGA,Soltera,Los Hitmen,35,2022-07-08,177.387,0.775,0.708,0,4.042,1,0.154,0.000411,0.201,0.131,0.649,168.054,4,0,0
95,2j2fIJGh4PMdXt9ULI5Tlc,Dura,Daddy Yankee,0,2018-01-18,200.48,0.786,0.846,1,3.468,1,0.174,0.0,0.0505,0.413,0.819,95.005,4,0,0
62,7DrluKkTviBwCc8AV3VGmf,Clandestino,Maluma,65,2018-06-08,231.921,0.766,0.822,1,4.126,0,0.39,3.37e-05,0.16,0.349,0.881,165.842,4,0,0
